"";"data_set";"inpute_time";"maxiter";"ntree";"parallelize";"miss_values_before";"miss_values_after";"cores"
"elapsed112";"datatrain1";183,540999999997;2;50;"variables";0;0;10
"elapsed113";"datatrain1";187,694000000003;2;50;"forests";0;0;10
"elapsed114";"datatrain1";187,222999999998;2;100;"no";0;0;10
"elapsed115";"datatrain1";186,991999999998;2;100;"variables";0;0;10
"elapsed116";"datatrain1";188,192000000003;2;100;"forests";0;0;10
"elapsed117";"datatrain1";184,816999999995;2;250;"no";0;0;10
"elapsed118";"datatrain1";189,214;2;250;"variables";0;0;10
"elapsed119";"datatrain1";191,998999999996;2;250;"forests";0;0;10
"elapsed120";"datatrain1";188,553999999996;5;25;"no";0;0;10
"elapsed121";"datatrain1";188,420000000006;5;25;"variables";0;0;10
"elapsed122";"datatrain1";188,930999999997;5;25;"forests";0;0;10
"elapsed123";"datatrain1";189,701999999997;5;50;"no";0;0;10
"elapsed124";"datatrain1";187,780999999995;5;50;"variables";0;0;10
"elapsed125";"datatrain1";188,347000000002;5;50;"forests";0;0;10
"elapsed126";"datatrain1";184,771000000001;5;100;"no";0;0;10
"elapsed127";"datatrain1";187,436000000002;5;100;"variables";0;0;10
"elapsed128";"datatrain1";189,794999999998;5;100;"forests";0;0;10
"elapsed129";"datatrain1";187,466;5;250;"no";0;0;10
"elapsed130";"datatrain1";186,794999999998;5;250;"variables";0;0;10
"elapsed131";"datatrain1";187,705000000002;5;250;"forests";0;0;10
"elapsed132";"datatrain1";186,345000000001;10;25;"no";0;0;10
"elapsed133";"datatrain1";187,775999999998;10;25;"variables";0;0;10
"elapsed134";"datatrain1";193,745999999999;10;25;"forests";0;0;10
"elapsed135";"datatrain1";187,943999999996;10;50;"no";0;0;10
"elapsed136";"datatrain1";186,101000000002;10;50;"variables";0;0;10
"elapsed137";"datatrain1";188,201999999997;10;50;"forests";0;0;10
"elapsed138";"datatrain1";187,714;10;100;"no";0;0;10
"elapsed139";"datatrain1";187,704999999994;10;100;"variables";0;0;10
"elapsed140";"datatrain1";191,500999999997;10;100;"forests";0;0;10
"elapsed141";"datatrain1";187,683000000005;10;250;"no";0;0;10
"elapsed142";"datatrain1";187,422999999995;10;250;"variables";0;0;10
"elapsed143";"datatrain1";191,961000000003;10;250;"forests";0;0;10
"elapsed144";"datatrain1";166,684000000001;1;25;"no";0;0;20
"elapsed145";"datatrain1";167,928;1;25;"variables";0;0;20
"elapsed146";"datatrain1";168,480000000003;1;25;"forests";0;0;20
"elapsed147";"datatrain1";171,495999999999;1;50;"no";0;0;20
"elapsed148";"datatrain1";167,432999999997;1;50;"variables";0;0;20
"elapsed149";"datatrain1";166,940000000002;1;50;"forests";0;0;20
"elapsed150";"datatrain1";168,005999999994;1;100;"no";0;0;20
"elapsed151";"datatrain1";168,557000000001;1;100;"variables";0;0;20
"elapsed152";"datatrain1";168,887000000002;1;100;"forests";0;0;20
"elapsed153";"datatrain1";167,634999999995;1;250;"no";0;0;20
"elapsed154";"datatrain1";166,404000000002;1;250;"variables";0;0;20
"elapsed155";"datatrain1";169,330999999998;1;250;"forests";0;0;20
"elapsed156";"datatrain1";185,642999999996;2;25;"no";0;0;20
"elapsed157";"datatrain1";186,650000000001;2;25;"variables";0;0;20
"elapsed158";"datatrain1";188,856999999996;2;25;"forests";0;0;20
"elapsed159";"datatrain1";186,626000000004;2;50;"no";0;0;20
"elapsed160";"datatrain1";186,262999999999;2;50;"variables";0;0;20
"elapsed161";"datatrain1";187,184999999998;2;50;"forests";0;0;20
"elapsed162";"datatrain1";184,854999999996;2;100;"no";0;0;20
"elapsed163";"datatrain1";188,044000000002;2;100;"variables";0;0;20
"elapsed164";"datatrain1";188,597000000002;2;100;"forests";0;0;20
"elapsed165";"datatrain1";187,613000000005;2;250;"no";0;0;20
"elapsed166";"datatrain1";182,966;2;250;"variables";0;0;20
"elapsed167";"datatrain1";189,553;2;250;"forests";0;0;20
"elapsed168";"datatrain1";183,625;5;25;"no";0;0;20
"elapsed169";"datatrain1";185,660000000003;5;25;"variables";0;0;20
"elapsed170";"datatrain1";189,805999999997;5;25;"forests";0;0;20
"elapsed171";"datatrain1";186,166000000005;5;50;"no";0;0;20
"elapsed172";"datatrain1";185,633000000002;5;50;"variables";0;0;20
"elapsed173";"datatrain1";189,040000000001;5;50;"forests";0;0;20
"elapsed174";"datatrain1";186,340000000004;5;100;"no";0;0;20
"elapsed175";"datatrain1";185,786999999997;5;100;"variables";0;0;20
"elapsed176";"datatrain1";186,820999999996;5;100;"forests";0;0;20
"elapsed177";"datatrain1";189,362000000001;5;250;"no";0;0;20
"elapsed178";"datatrain1";185,485999999997;5;250;"variables";0;0;20
"elapsed179";"datatrain1";187,521999999997;5;250;"forests";0;0;20
"elapsed180";"datatrain1";185,572999999997;10;25;"no";0;0;20
"elapsed181";"datatrain1";186,109000000004;10;25;"variables";0;0;20
"elapsed182";"datatrain1";189,431999999993;10;25;"forests";0;0;20
"elapsed183";"datatrain1";183,936999999998;10;50;"no";0;0;20
"elapsed184";"datatrain1";188,230000000003;10;50;"variables";0;0;20
"elapsed185";"datatrain1";185,150999999998;10;50;"forests";0;0;20
"elapsed186";"datatrain1";188,179999999993;10;100;"no";0;0;20
"elapsed187";"datatrain1";183,049000000006;10;100;"variables";0;0;20
"elapsed188";"datatrain1";185,076000000001;10;100;"forests";0;0;20
"elapsed189";"datatrain1";185,370999999999;10;250;"no";0;0;20
"elapsed190";"datatrain1";189,016000000003;10;250;"variables";0;0;20
"elapsed191";"datatrain1";185,337;10;250;"forests";0;0;20
